noop,fork-simple,vfork-simple
28,36807,14916
27,42071,10691
28,39764,12672
27,39286,14421
28,36021,11422
28,42692,11167
28,41513,10565
28,35564,14384
28,36434,10650
28,37939,10561
28,44167,15761
28,42850,14610
27,40604,11242
29,40097,11130
28,37889,10839
28,37519,15223
28,46025,16581
28,41857,11110
28,36929,10828
28,36984,13680
28,39521,10748
28,40804,12447
29,36090,11110
31,36424,16329
27,40599,10178
29,37849,10709
27,36302,10560
28,36097,14359
28,39629,11342
28,36602,11507
29,37292,12786
29,38113,15629
28,44076,14780
28,36537,11128
28,36994,10584
28,42963,14398
28,39471,10504
28,36275,11060
28,35699,15450
28,40221,14806
28,36224,10937
28,35787,11074
28,36453,10658
28,41288,14935
27,42024,12547
30,35333,10309
29,35551,10460
28,40952,18850
29,39033,10656
30,37879,10504
28,43939,10505
28,35691,13473
29,36267,11055
28,35977,11053
28,42287,10409
29,36200,14120
28,36681,10502
29,36583,10708
27,41684,12642
27,37178,14695
28,36532,11119
28,41942,10973
28,39513,10730
28,39497,20163
28,37883,10846
28,44529,10805
28,39648,14673
28,37084,15300
28,37152,10516
27,41194,10797
28,39201,10447
28,41741,14988
28,44314,12750
28,36676,10711
28,36521,10732
28,40763,14019
27,39366,10692
27,35942,10884
28,36233,14225
28,42973,14486
28,39032,10581
29,38874,10924
29,36375,10845
29,41584,16331
29,37208,10412
27,35686,10674
28,36123,13161
28,40977,14838
29,36527,10790
29,36108,11482
29,38476,10975
28,43094,13365
27,38482,10700
29,36410,10379
28,39057,18705
28,40323,14610
28,38650,10353
28,35987,10989
29,41491,10554
29,40134,14639
28,38725,13867
28,37064,11377
28,40206,10666
28,35051,15003
27,36239,11109
27,37981,11942
28,39486,10967
28,37881,14215
29,38166,10591
28,39065,13871
28,43090,10702
28,41256,15452
28,36894,11030
28,39996,10911
28,36762,13297
27,37828,14365
28,37695,11058
28,42624,11033
28,37545,10748
29,36452,15459
28,41240,10727
28,38228,10894
29,38651,15899
29,36629,14295
28,39943,11289
28,38623,13916
28,39613,10670
30,38498,14834
28,40800,13047
28,36105,10320
28,36174,10751
28,42019,15104
28,38006,10594
30,35828,11333
28,37967,11711
28,39446,15144
28,40329,11091
29,41339,11084
28,38149,11328
28,43150,14775
29,37701,14846
28,36493,10562
28,35767,13678
29,38501,14193
28,36830,10381
28,34605,10778
28,40719,11090
29,42895,15947
28,41904,11226
28,41798,10689
28,40739,14791
28,40404,14035
28,40077,10563
28,37567,10798
28,41335,11115
28,37945,15150
28,38376,16941
28,38886,10295
29,35640,11358
29,35621,15592
27,38744,11877
28,43223,12181
28,37176,11421
28,38387,14267
29,41837,11409
28,42123,10613
28,37251,10489
28,39011,14551
27,42295,10461
28,36797,10732
28,38453,13001
28,37127,15136
28,40641,14606
28,36504,10432
29,37225,10554
28,36899,13561
27,40437,10983
28,39533,10503
28,38268,14596
28,39018,14562
28,36880,10960
28,35570,10766
27,40345,11027
27,41837,14270
28,43551,13378
29,40061,11477
27,41609,10805
28,40634,16873
27,46584,10686
28,38550,11902
28,38531,10865
28,41731,15318
27,37143,10236
28,38222,10332
28,36642,11348
27,35392,15011
28,42015,10557
28,35037,10936
27,39857,12839
27,36145,14631
28,40875,11258
28,37554,10981
27,43332,10925
28,35879,19758
28,42532,10595
28,43810,11403
27,36546,14281
29,36279,13630
27,38914,10432
27,39570,10480
27,38485,11282
28,38793,14734
28,43598,13688
28,40677,10865
28,34806,10539
27,35126,15389
27,39519,10291
27,38498,10342
28,43781,13965
28,38164,14322
27,45544,11022
28,37032,10668
28,37181,10330
27,36491,15086
28,47644,10979
28,45231,10576
28,37036,12671
28,44746,14110
28,39277,10448
27,35360,10503
27,41234,10546
28,44432,15567
27,44981,10953
28,37566,11194
28,40596,18387
27,42257,14560
29,38937,11927
28,39662,10636
28,36481,10456
28,39207,14426
29,36532,12884
29,37575,10426
28,44218,10927
28,38566,16347
29,38750,10741
28,35971,10589
28,41574,10356
28,38559,14745
28,36216,10540
28,36245,14302
28,43027,10434
28,37144,14600
29,37564,11084
28,39980,10469
28,36821,12810
28,36212,13974
28,37545,10435
28,41905,13374
28,36517,10538
28,36148,14951
28,39686,10777
28,40738,11600
28,35849,14957
28,37356,15253
28,42752,16008
