noop,ycall-registration-minimal,ycall-deregistration-minimal,fork-simple,fork-ycall,vfork-simple,vfork-ycall
30,6899,7632,43206,41641,13506,17395
30,6844,7708,42565,41988,14720,13878
30,6376,7557,39120,52812,12429,11048
29,6641,7616,41508,147493,11358,12140
29,9942,7665,39469,67895,11387,15812
29,6648,7739,38967,66866,12022,11182
30,6699,7678,37266,65940,13500,11164
29,6477,7555,41466,65398,15155,11991
29,6879,7682,39683,64129,12491,14751
29,6753,7658,38329,71196,12253,11294
30,6565,7715,37492,64977,11937,11497
29,6723,7592,42425,63581,12137,11273
30,6797,7670,37072,72045,11542,15935
29,6748,7670,42105,64340,11685,12204
30,6750,7663,39354,66467,11943,12464
29,6623,7646,37897,73578,14899,11360
29,7210,7699,39034,62961,12605,17745
29,6771,7636,37870,61465,11800,15948
29,6885,7615,41673,49918,11891,11172
29,5798,7718,38103,48583,11154,12599
29,6754,7655,37974,43903,11513,14899
30,7390,7635,38105,43267,11917,11186
30,6634,7599,44018,49648,12164,11050
30,6541,7729,39726,46077,16566,11993
30,6628,7687,38990,46750,12749,14482
29,5889,7789,43130,48797,13185,11284
29,7572,7518,37671,46190,12467,10543
29,6597,7685,37024,46118,12527,11413
29,6739,7669,39893,52152,12194,17717
29,6412,7703,40550,46392,14005,11099
29,6491,7690,36909,47466,12235,11467
30,6686,7613,37527,47163,11895,11089
30,6803,7707,38018,49115,12147,18277
29,6672,7579,40725,43130,11369,11732
29,6635,7658,37441,43074,11571,11815
30,6886,7647,40308,50762,12792,11980
30,6848,7592,42839,44856,12452,14730
29,6850,7603,37859,44299,12976,11441
29,7023,7670,38098,45923,17561,12992
30,6745,7723,37938,45294,12160,11736
29,6846,7549,40398,45089,12752,15447
30,6006,7703,38344,47295,12978,11260
30,7405,7542,37944,47532,12164,13647
30,6667,7720,37955,43498,14175,10912
29,6745,7685,42085,43157,12464,15354
30,6826,7683,37449,47373,12837,17511
30,6515,7720,37575,43572,14730,10819
30,6457,7585,37778,43500,13351,16722
29,6599,7571,40867,46718,12341,15351
29,6927,7676,37528,43511,12066,10934
29,6479,7640,37313,42101,16647,10665
30,6670,7556,45067,43838,11439,11229
30,6668,7643,37718,47331,13679,14271
30,6542,7662,36352,41914,11818,10934
29,6675,7729,37138,42343,19912,11690
29,6624,7646,41554,46559,11866,11238
29,6814,7611,37903,42350,12967,16761
29,6757,7669,38551,43834,13443,10444
30,6627,7673,36819,46965,15397,12128
30,6629,7656,41559,42188,13142,11359
29,6830,7652,38151,42213,13208,16700
30,6442,7650,38941,42089,12105,11498
31,6720,7531,43403,46690,14989,11265
29,6612,7650,37890,42144,11287,13825
29,6582,7485,37610,42363,12144,15236
29,5903,7753,38322,46873,12061,10687
30,6452,7785,42432,42580,16074,11043
