noop,fork-simple,vfork-simple
28,39745,13492
27,40342,11932
28,37333,12083
27,36010,11326
28,38963,11074
28,41097,11390
27,40105,11156
28,38163,11740
30,39844,11180
28,43056,11237
28,40998,11506
29,41569,11173
28,45928,11478
27,38456,13871
29,37646,11353
28,38948,14759
27,44362,12692
28,40285,13461
28,38308,12762
28,40892,12114
28,45472,12724
28,37746,12067
28,38122,12737
28,43691,12824
28,39343,13191
28,36138,12557
28,36550,12377
28,42744,14289
28,38964,11950
27,36638,12143
27,37359,15519
28,43555,11381
29,38721,12113
28,39069,11368
28,38834,12051
28,40519,11347
27,37294,11545
28,37313,11160
29,40405,10982
27,36700,11204
30,36823,11229
28,37832,13640
28,39810,12789
28,37220,11286
28,37449,11193
28,36728,11411
28,41320,15695
28,38013,11855
28,37299,11546
28,39895,11809
28,37138,11626
27,37413,12560
28,39720,11585
28,42570,11090
27,39405,11269
27,38132,13277
27,38496,11547
28,43381,12127
28,40583,11706
28,41276,11689
29,43217,11453
27,36535,15633
28,36687,11622
27,36287,11415
28,39830,12203
27,36502,11640
27,36563,12377
27,36962,11405
26,40932,11672
27,37640,13298
28,37903,11533
27,37671,11198
29,41044,11034
28,36836,11970
27,37362,11708
28,39613,11045
28,37253,13711
27,36821,11635
28,36942,11428
27,39838,11636
26,37207,11343
27,36604,11764
27,38132,11703
28,40901,13103
29,37408,12439
28,36483,11649
27,40141,11511
27,38207,11707
28,36322,11706
29,36849,12009
27,40566,981010
29,37101,13727
28,36949,15885
27,36033,11054
28,41305,11435
28,37081,11810
28,36647,11443
28,38650,12031
28,36700,12233
29,36607,11285
28,36982,11839
29,39757,11510
28,37034,11231
28,36436,11438
28,37453,11247
27,40336,11720
29,36817,11442
28,37818,11363
28,36767,13805
27,44077,12022
27,36706,11546
28,36666,11116
28,40267,11540
29,37435,11522
29,37036,11684
28,38062,11792
28,40405,11036
28,37524,11344
27,36920,12164
28,39204,11471
28,38762,11350
28,36755,12557
29,36716,12020
28,42339,15019
28,35743,11527
27,35957,11526
27,36369,11452
27,41945,12098
28,37645,11179
28,36277,11986
27,37066,12810
27,40994,11566
27,37144,11216
28,37524,11504
28,40526,11524
28,36624,11309
29,36986,11612
28,36747,11455
27,40220,11476
29,36743,15482
29,36924,11388
27,37026,11373
30,41331,11446
27,37104,11315
28,36920,11587
28,40638,12127
28,37119,11656
27,36478,11783
28,36716,11758
28,39997,11531
27,39270,11354
28,37327,11598
28,36749,12239
29,42025,11899
28,40000,11521
28,38001,15108
26,36711,11410
28,44526,11361
27,40411,11083
28,42138,11684
28,46240,11791
27,41881,11484
28,40658,12287
27,41666,11474
28,43265,11361
28,42637,11245
27,39264,11315
30,41574,11893
28,43869,11730
29,41748,11942
27,38887,14135
28,39899,11434
29,39444,11444
27,40740,11632
28,37117,11476
28,40793,11240
29,39301,11949
28,40928,11887
28,36959,13063
29,40879,11608
27,37528,11584
28,37542,11582
28,38268,12185
28,36211,11546
28,36785,11369
28,40013,11027
27,41176,15095
28,36440,11851
28,37049,12277
27,38012,11513
29,40656,11515
28,37256,12259
27,36864,11205
28,39878,12575
28,39977,11821
27,36817,11144
28,38159,11350
29,41899,11098
28,36703,11564
28,38568,11931
28,35335,11460
28,41600,14870
28,37023,11960
28,36309,11913
28,36108,11819
27,42781,12272
27,36262,12263
28,36508,12850
29,40261,12686
29,39954,12542
28,38308,12192
27,37314,12428
28,42188,11531
29,40541,11690
28,37616,12098
29,41934,11643
28,41570,11583
27,38337,15496
28,36864,12195
28,40647,11594
28,37725,11202
28,38408,11408
28,36408,11674
28,40371,11851
28,39535,11560
28,41586,13226
27,36995,11936
28,40522,11019
27,36739,11396
29,39605,11923
27,37979,11371
28,44130,11738
29,40676,14046
30,44282,11536
27,42824,11215
28,37107,11461
28,37240,11274
28,38885,11531
28,41681,11804
28,36612,14091
27,36384,11524
27,38350,11460
29,40901,12180
27,38915,10921
29,36526,11563
27,42054,11385
27,36497,11533
28,36981,12217
28,36469,15008
28,43089,11304
27,37304,14532
28,37314,12549
27,38548,12530
28,42400,14276
28,36888,11860
27,36198,11434
28,40253,11930
28,37983,11899
28,36806,12396
28,36533,11602
29,40215,11517
27,40381,11347
27,36681,12312
29,36524,11571
28,41195,13839
28,37648,12143
28,36610,12072
27,39119,13314
31,36936,11582
28,38055,11302
28,36998,11526
27,39187,11717
28,36912,11621
28,36748,11526
28,37896,12115
28,40309,11953
27,37258,11675
28,36330,12162
29,37438,11856
31,40493,15393
28,36362,11458
28,36775,13451
27,41005,11838
28,36605,11632
28,37608,11255
27,36839,11576
28,40386,11490
28,36679,11747
27,37021,11944
28,37409,11533
28,40077,12755
28,37685,11858
28,36772,11847
28,39508,11757
28,38125,11451
28,36753,16586
28,36908,11232
28,41717,11553
29,38788,11608
29,38936,11264
29,39690,11274
28,41804,11752
29,36342,11468
28,36371,11117
28,40216,11622
28,36881,12895
28,36347,11858
28,36848,11241
28,40865,11730
28,37047,13132
27,65373,16325
28,36668,11387
28,42991,11108
27,40924,11700
28,40276,11379
28,38561,11415
29,42132,11463
29,37040,11303
27,36375,11457
28,40197,11635
27,36619,11106
28,36467,11634
27,36476,12087
28,40195,13097
28,37535,11068
28,39321,11363
28,38050,13862
27,40328,11385
28,36468,11211
28,36645,11264
28,40941,10875
28,37157,11839
28,37571,10805
28,36426,11081
27,41255,11823
27,37426,11261
28,36317,11478
28,36404,13782
27,40658,11003
27,36101,11483
27,37808,11331
29,39627,11314
28,35729,15133
28,36631,11632
28,38479,11512
28,39221,11458
28,37441,11534
27,36372,11439
28,39619,11475
28,39868,12093
28,36344,11429
27,36813,13911
28,38086,11178
28,44368,12019
27,39743,12155
28,38182,11974
28,41571,11230
29,37760,14886
27,36215,11855
28,37182,11069
28,40827,11165
28,36975,12014
28,36662,11162
29,36940,11121
29,41168,11517
27,36940,13540
27,38011,11388
27,40571,11594
28,37526,11289
27,36636,11640
27,37165,12148
29,40300,11111
27,40894,10872
28,37624,15058
28,41140,11638
28,41589,11748
29,39528,11013
28,38551,11805
29,42789,11023
28,36319,13178
29,36647,11023
28,39537,11421
29,44068,11558
28,37779,11348
28,37365,11303
28,39114,12300
27,41886,11515
28,36445,11027
29,36241,14578
27,40274,11491
28,38349,12240
27,37164,12114
29,38520,11500
27,40727,13217
29,37857,11147
28,36010,11815
28,36996,11893
27,40608,11404
27,38988,10988
28,37857,11652
28,39982,11345
28,39737,12318
28,40312,11018
28,38446,11706
28,43476,14630
28,36110,11812
28,38641,11399
28,36033,12983
28,39913,14478
28,35254,11656
28,38644,11078
27,37006,11069
27,41418,14711
28,36926,10745
27,39684,11043
27,41456,11328
27,37252,14713
28,37210,11075
27,40716,11466
27,40201,10956
30,37856,17056
28,37485,12565
30,37788,11266
29,38903,11069
27,36171,15551
28,36594,11092
28,42471,10919
28,35635,12550
27,36706,13626
28,37072,11929
28,44065,10998
28,36405,10804
27,36258,13757
28,36643,14046
27,43089,11295
28,38881,16074
28,36634,14429
28,38230,10898
28,36679,11703
29,36457,11358
29,36725,15333
28,39809,11740
28,37474,11372
27,36507,11360
28,37746,13728
28,39942,10898
27,37448,10880
28,36838,11093
27,36422,15557
27,40906,13226
29,36802,14985
28,36201,11157
27,40421,15571
28,36712,11011
28,36868,11320
27,38209,10780
28,43639,15406
28,39968,11181
29,39557,10723
27,36997,11317
29,43703,13054
28,38851,12937
28,38600,11795
27,39637,13513
28,36688,11737
27,36387,11530
30,35866,14579
27,40613,11669
27,37329,11157
31,36321,11695
27,36806,12020
28,40243,11111
28,36030,11765
30,36147,11794
28,38890,11350
27,36746,11747
28,37953,11888
28,38610,13819
27,39792,11711
28,38440,11870
27,37429,11545
27,37333,12160
27,42650,15465
27,40533,11509
27,38548,12547
27,42113,11541
26,37004,11156
28,38614,11961
27,39586,11647
28,44123,11713
28,35922,11720
28,36784,13374
28,38258,10837
27,41909,11699
27,36388,11142
27,40043,11559
27,36707,11309
27,41071,15304
30,36649,11049
27,36980,11475
28,39789,11055
28,42343,11426
28,40283,11635
27,37202,11474
28,42218,10962
28,39535,13606
28,39183,10936
28,38156,11226
28,41476,12493
27,38490,14262
27,36836,11190
26,40475,11005
27,36289,10838
27,38675,17706
28,36594,11828
28,40425,10631
28,36685,10804
26,39110,14663
27,35836,11180
28,40034,12886
27,36545,11011
27,38148,14026
27,40468,10942
27,36100,11151
28,36545,10989
27,38615,14328
28,39526,11938
28,37559,10774
27,36486,11076
28,38541,18859
27,41932,10659
27,36695,11006
27,37405,10819
27,38488,16779
28,39990,10988
27,36640,11105
28,37268,11199
27,43267,15330
28,36816,11866
27,36352,11346
29,36688,10924
27,42871,15291
27,37586,11034
28,39371,11555
27,39229,14659
27,41585,14596
28,36139,11343
27,38215,13791
27,39949,10761
27,38843,14005
27,35817,11905
28,38451,10847
28,42136,11292
29,38201,14119
28,40384,10688
28,40156,10663
30,41199,11224
27,40899,14336
28,36382,10883
27,40520,11076
28,36040,14479
29,38682,16773
28,36128,11461
28,40248,10553
28,37118,11035
28,38461,14558
27,37565,11168
27,40218,11676
27,36264,11414
27,38139,14610
29,39908,11005
28,36211,11247
27,37205,11713
29,38218,14334
28,40032,11506
29,37824,16415
28,36889,11245
28,38853,14583
27,43158,11506
27,36470,10860
28,36305,11731
27,39466,14771
28,40337,11606
27,36722,11072
28,37191,10823
28,42044,14465
28,36444,10937
27,36900,11329
28,37443,10868
28,42449,16870
29,37449,10703
28,39456,14211
27,36360,14147
28,44731,13855
28,36245,10723
28,36797,11262
28,39653,11161
29,38414,14368
27,36639,11392
29,37234,10913
28,39714,10789
27,37274,15574
28,37481,10959
29,36075,12528
28,40047,11071
28,43984,14448
28,43274,15257
27,45966,11202
28,42012,10549
28,44368,14994
27,40317,11643
29,45368,10884
28,40195,10726
27,39385,14531
28,39504,11001
26,41254,10592
28,38963,11524
27,36392,16821
27,36048,10614
27,43476,11221
29,40257,15248
30,39743,14439
28,44177,14764
28,39805,10633
28,41009,10513
27,38014,14523
27,39734,11168
28,36178,10724
28,38327,10797
27,36461,14378
28,39293,11131
28,35966,13257
27,38764,10712
28,40221,14615
28,36451,11000
27,36361,10820
27,38620,11026
28,39325,15056
28,36953,13976
28,36523,10804
28,38909,11851
29,40467,14574
29,36169,11270
27,36382,11211
27,42551,10856
27,36365,16085
28,37085,11282
28,36034,10821
28,42046,14359
28,38728,14200
28,36820,10687
27,37804,10778
29,42645,11914
29,36935,18254
28,37093,10608
28,35531,11112
28,41857,11256
27,36278,14823
28,38983,10814
28,41285,13432
28,39181,11243
28,36650,14665
28,37845,10801
29,41163,11346
28,38509,11336
28,37012,15784
28,36684,10687
27,39796,12499
27,38057,15100
28,37076,12675
29,40516,12607
28,36603,12427
29,38495,13103
28,35667,14270
