noop,ycall-registration-minimal,ycall-deregistration-minimal,fork-simple,fork-ycall,vfork-simple,vfork-ycall
29,5848,7653,40456,46248,11264,11821
30,6120,7674,42415,44859,11664,12477
29,7640,7572,37648,41742,11275,15974
30,6783,7655,37939,41629,12076,11812
30,6565,7571,37604,50960,11913,11725
30,7032,7591,43396,40817,11458,12112
30,6619,7645,41838,41123,12855,12236
29,5531,7550,39059,42454,12061,12388
29,7562,7635,42379,48567,12276,13186
29,6481,7558,38126,41784,12483,11984
29,6983,7708,39095,41645,11790,12126
30,6702,7659,38352,45415,11684,11935
30,6197,7551,41301,42613,17074,12015
29,6910,7697,39016,42451,12128,11919
29,6557,7671,38573,41660,11732,10910
30,6327,7585,41930,45619,11567,12443
30,6663,7532,38423,44580,11596,13108
29,6127,7569,38376,42560,11881,15726
29,6839,7546,37337,45101,11918,15531
29,6936,7585,42381,41893,12219,12045
30,6214,7606,39083,42495,11999,12258
30,6659,7701,39630,42368,12184,11914
29,6736,7567,42344,45318,11679,15435
29,6405,7491,40518,41406,11331,11344
30,6808,7598,41098,42024,12280,11901
29,6538,7725,40668,42980,11866,12329
29,6837,7509,43536,41651,13998,12591
29,9785,7749,38151,41608,12098,12012
29,6431,7510,40674,41612,15472,11958
29,6702,7657,41626,45747,12027,12072
30,6696,7565,38296,44429,11467,12018
29,5687,7579,38760,41801,12139,12253
29,6633,7569,37991,45877,11426,12132
29,6222,7682,40231,41584,11851,14962
29,7654,7676,38698,42180,12285,12824
30,6652,7619,39229,42184,11350,11746
30,6542,7570,42215,46244,11690,13549
30,7035,7616,38126,41925,11527,12201
30,6598,7692,38365,41434,11434,12442
30,6414,7591,37648,45164,11960,12013
29,6626,7583,42337,42467,13319,11931
29,6382,7703,38663,41725,12634,11774
30,6960,7610,40130,42433,11630,12260
30,6751,7599,43867,45203,16156,11926
29,6284,7699,41793,41612,11647,12050
29,6700,7657,43028,41500,12426,11957
29,6662,7627,40728,45277,11829,16258
29,6547,7614,43846,41183,13354,11881
30,6616,7621,38442,41231,11745,17312
29,6342,7647,40416,40844,11819,12972
30,6655,7743,41804,47709,11925,13067
30,5808,7683,38306,43025,11907,11949
